data,titolo,descrizione,relatore,streaming,download
2016-02-21,Verità ubbidienza e riconciliazione,/,Anz. Bruno Fucilla,/,https://mega.nz/#!kVh3FCCI!H5QPSbcfgMqaWIBoMVK6V2G-rSz9GCQJDOY-mrgQ27U
2016-02-28,Approvati da Dio,/,Past. Marco Lienhard,/,https://mega.nz/#!URIWTapB!IIg-fmyJw8tK6gU5nWs7MC4hkudKJUSZ5_v_UeeCy4g
2016-03-06,Quando la fede cresce,/,Past. Marco Lienhard,/,https://mega.nz/#!AVAxWAJS!c6mX5d485Cb5Z80x-72XMnpaqVmP-gcYO7gbf9RUt3Q
2016-03-13,Ricevere lo Spirito Santo,/,Past. Marco Lienhard,/,https://mega.nz/#!NNYyUAYJ!h_IXeop0800BC_89GFaI9UUsn9uZbpcjZBONWweJofE
2016-03-20,La terra promessa,/,Past. Marco Lienhard,/,https://mega.nz/#!4NQgSLwA!Tncb-SL69pxn-Pp-sRCjI3CiMxL49HBlGn-8CitJ4Fw
2016-03-27,Risorti a nuova vita,/,Past. Marco Lienhard,/,https://mega.nz/#!MJYkUSoS!D-CtgPj5EBeGxjnZLjrhMfwysvw0yJkHuZnsA4fPh2Q
2016-04-03,Pescatori di uomini,/,Past. Marco Lienhard,/,https://mega.nz/#!QJAFURxA!JcYnVMpavokFDz8PdVKB0oVPuBTSFtO1mc-TSBEbWws
2016-04-10,Dedicato o consacrato,/,Past. Marco Lienhard,/,https://mega.nz/#!BJIxXDjD!QQerviRf5PgpTg8m8JCY4y4yqRtXheaOcKHACx9sI0U
2016-04-17,Veri adoratori,/,Past. Marco Lienhard,/,https://mega.nz/#!xQ5BSBgT!8xprNlMxTpOA0TEOWoMS5z35DhToysJ4w4r-icG_3V4
2016-04-24,Spiriti di contaminazione e pericoli nel servizio a Dio ed ai conduttori,/,Anz. Giovanni Puntillo,/,https://mega.nz/#!hZBmjahZ!T6mX6Qj5vHdPjCkFvXtMhyfXqg8iTaFKbQxPjw6rw6o
2016-05-08,Gesù apre vie bloccate,/,Past. Marco Lienhard,/,https://mega.nz/#!pU4wmTTb!2Cg-YDxGmd8W6eanYZk9uRRLiTyCnTLkAgykth57qmI
2016-05-15,La mia grazia ti basta,/,Past. Marco Lienhard,/,https://mega.nz/#!EYJhGZgC!ggUL9Njjlcm8Tpza81pR8Nnfx1CzUfqsvoe61TfzdwE
2016-05-22,Alzati e cammina,/,Past. Giovanni Gullone,/,https://mega.nz/#!FVpT0AAJ!Y8z9uVuH8aMe6bn3ARsx2vLhIQ2wqiA_ttYNK-CLij8
2016-05-29,Trasformati,Non solo credenti ma discepoli,Past. Marco Lienhard,/,https://mega.nz/#!0RoCnaLa!8Qrn67FrJ09mjOUUXMg8nWZUSsZ2vdctJKFogwtuf1w
2016-06-03,Benvenuti a casa,Primo giorno di conferenza con il relatore Mike D'Anna,Past. Mike D'Anna,/,https://mega.nz/#!JIo3Qaga!6RBn5wF12iIg4i_KatGj0NUQA5m23_HU38p3Avy4KdA
2016-06-19,Rhema Siloe,Il Rhema diventa visione,Past. Marco Lienhard,/,https://mega.nz/#!5FAzULpJ!Q863cIrnPt6kNcmkZN6iYHhgNl0RrXo6Q-2NpRU1_dY
2016-07-03,Permetti di essere ferito,L'esca di satana,Past. Marco Lienhard,/,https://mega.nz/#!hA5RkB5A!iiYJc-L75awE9XC9FknEAr_99CoGv4UNiUpFzjLSZ_8
2016-07-10,Zelo che consuma,Zelo e conoscenza portano frutto,Past. Marco Lienhard,/,https://mega.nz/#!IA4TgbAK!hzjpgfWz3-dkUtcnx2u55WsO0WAp46N3g7V4JzVEJ78
2016-07-17,Relazioni ed autorità,Gesù pone le relazioni buone come presupposto per usare autorità,Past. Marco Lienhard,/,https://mega.nz/#!xMIEia5B!OlD0vPjZtg936Nr4Ez6Dc8ViaOV-MwjlcUp775UWVls
2016-08-07,La carne e la croce,/,Anz. Giovanni Puntillo,/,https://mega.nz/#!oAxAVKRC!IsBg_cFGArCaF5QTkHrFXRweggjp41zVoGCCXtVa960
2016-08-21,Gesù ha pietà,Come toccare il cuore di Gesù,Past. Marco Lienhard,/,https://mega.nz/#!gEgjBbLQ!6wDu7Cdk-ZUnvYgkzk7KAfVxOmnr9A44RlKKt5-IKdU
2016-08-28,Acqua di guarigione,Perchè molte guarigioni sono solo momentanee,Past. Marco Lienhard,/,https://mega.nz/#!pQpVnbzD!_WwBD7YIZkt37we_z-EE0jF4gAI4BUwZWn_-F8ftmeg
2016-09-11,Dimenticato da tutti,Come superare questo stato interiore,Past. Marco Lienhard,/,https://mega.nz/#!FZIFRTSR!wpfAcZA63a6a8bOJCiIyhV6LW0a-wpf0haiAHDgABEc
2016-09-18,Come essere felici,Un segreto spirituale,Past. Marco Lienhard,/,https://mega.nz/#!kVZUnJTB!XHk_G3tyihLZhVexiSRYZ7JC9g_UkTmlEFQqwTmc-ZQ
2016-09-25,Il frutto dello Spirito Santo,Coltivare il rapporto con lo spirito santo,Past. Marco Lienhard,/,https://mega.nz/#!5AwRlS5D!PGVxdgRLdrXb6heNEMcynpO5q0FKf6lIxSxhmfIBox4
2016-10-02,Il maestro che serve,Imparare da Gesù come servire,Past. Marco Lienhard,/,https://mega.nz/#!4cIEmCrY!exkUTwmgno2NKzKwcjfrQrA1IJFYFy3hcfQBt-4EWtE
2016-10-23,Il dono prezioso della Salvezza,/,Anz. Bruno Fucilla,/,https://mega.nz/#!4cIEmCrY!exkUTwmgno2NKzKwcjfrQrA1IJFYFy3hcfQBt-4EWtE
2016-10-30,Fede nella fossa,Avere fede anche e soprattutto nelle difficoltà,Past. Marco Lienhard,/,https://mega.nz/#!cMQVXDQA!6gl01bqrpKWgYp8fji1oApcfLSw6m6kFAiqoNjweb3g
2016-11-06,Liberi per liberare,Gesù sul mercato degli schiavi,Past. Marco Lienhard,/,https://mega.nz/#!1dx2mSYT!uSbW6dmaR1j9OdE3s44XNCbYF-wAIFKs0zpNj3-X8OM
2016-11-14,Riafferra lo scopo della tua vita,/,Anz. Giovanni Puntillo,/,https://mega.nz/#!dYpA1DZb!8lNEr6LGNyxae6HlVWPchoEI0RNmiTX4Sz8pgDtQaFI
2016-11-20,Vincere la paura,La proposta biblica alle nostre paure,Past. Marco Lienhard,/,https://mega.nz/#!JQ4RkTJK!C6_Lk_9xt_2OyqkWYzYQPB6W28BbR68BvhnXzYPgtZk
2016-11-27,L'immensità dell'amore di Dio,L'amore di Dio che suscita il nostro amore per Lui,Past. Domenico Gullone,/,https://mega.nz/#!xUpynQga!mcsbYk6HRwsZ2-Yg2sf4hLFUn3QVvOeET9SPgUMyt0o
2016-12-04,Il richiamo dell'eternità,Nicodemo alla ricerca del regno di Dio,Past. Marco Lienhard,/,https://mega.nz/#!IZ4hiZiI!5ZLv7-dAU2myyhFIxUwgJohQW1par4bEoWRghIXvmvA
2016-12-11,Le lastre di Mosè,L'ira tua distrugge l'opera di Dio,Past. Marco Lienhard,/,https://mega.nz/#!IV5mkQqY!Rx-pOTAJ2nvZGFRPTfKr2ful9FbyYAn61EATp0ue7zI
2016-12-18,Misericordia non sacrificio,Chi giudica non conosce Dio,Past. Marco Lienhard,/,https://mega.nz/#!0ABRDKwC!8YPMYoCoNhVDPmBMIxxbrEPoYuFadyV_QYgbx7vcAGg
2016-12-25,Culto di Natale,/,Past. Marco Lienhard,/,https://mega.nz/#!dYhARaZJ!3rFv1h4RIqQT2auGWH2ID2AK86GbzZx1N_Aa1jWOAWI
2017-01-01,Camminare in Cristo ringraziando,Mettere radici in profondità per crescere in alto,Past. Marco Lienhard,/,https://mega.nz/#!JMZiHbBC!y4_IyMmydEXd_PX3XZbk2A0bk-yy2qSFj1jwduJSdi8
2017-01-08,Rhema 2017,Vivere la potenza del vangelo,Past. Marco Lienhard,/,https://mega.nz/#!cMwgGDSB!QdaFY3pqwmUibAM210l5PsV01kkzBVRMol8NMj_zc3YS
2017-01-15,La maledizione dell'egoismo,L'altruismo sconfigge l'egoismo,Past. Marco Lienhard,/,https://mega.nz/#!ocoBjbjb!eIXVcCa2VnjIFdjzqG_PIaTyy3rAKO8G2v_G6fqxtZA
2017-01-22,Vivere nella grazia,Ricevere Dare e Rimanere nella grazia,Anz. Giovanni Puntillo,/,https://mega.nz/#!9QJkSQoC!VQAVhxiHUtBgINUnkIo8ydh_1ipUUhkz2v4nnWcCCpQ
2017-01-29,Fede che guarda Gesù,I cinque aspetti di una fede grande,Past. Marco Lienahrd,/,https://mega.nz/#!FcQxwBqS!7VkOnaTNhunsBUDLMOXMJo38-m6Iymbl05So90jFIwY
2017-02-05,Consacrati a Cristo,Consacrarsi per servire,Past. Marco Lienhard,/,/
2017-02-12,Chiamati per sempre,Una posizione che implica una funzione,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-02-12-pml/,https://hearthis.at/chiesasiloe/2017-02-12-pml/download/
2017-02-18,Ripieni di Dio,Con che cosa riempi la tua vita,Past. Rosario Mascari,https://hearthis.at/chiesasiloe/2017-02-18-pr-mp3/,https://hearthis.at/chiesasiloe/2017-02-18-pr-mp3/download/
2017-02-19,Parla la Parola,Quello che dite è quello che ricevete,Past. Rosario Mascari,https://hearthis.at/chiesasiloe/2017-02-19-pr-mp3/,https://hearthis.at/chiesasiloe/2017-02-19-pr-mp3/download/
2017-02-26,La fonte della fede,Sii un figlio dell'olio,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-02-26-pml/,https://hearthis.at/chiesasiloe/2017-02-26-pml/download/
2017-03-05,Vivere l'abbondanza,I tre livelli spirituali per un credente,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-03-05-pml-1/,https://hearthis.at/chiesasiloe/2017-03-05-pml-1/download/
2017-03-12,Salvati per grazia,L'uomo crede di essere salvato per meriti - non è questo l'insegnamento della parola di Dio,Anz. Bruno Fucilla,https://hearthis.at/chiesasiloe/2017-03-12-abf/,https://hearthis.at/chiesasiloe/2017-03-12-abf/download/
2017-03-19,Lo spirito sopra di me,I 4 livelli dell'opera dello Spirito Santo,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-03-19-pml/,https://hearthis.at/chiesasiloe/2017-03-19-pml/download/
2017-03-26,Essere pieni dello Spirito Santo,Uno standard di vita nella prima Chiesa,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-03-26-pml/,https://hearthis.at/chiesasiloe/2017-03-26-pml/download/
2017-04-02,Come essere pieni dello Spirito Santo,Cinque modi per esserlo,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/2017-04-02-pml/,https://hearthis.at/chiesasiloe/2017-04-02-pml/download/
2017-04-09,Il parlare dello Spirito Santo,Quando sei ripieno di Spirito Santo Lui ti parla,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/09042017-pm/,https://hearthis.at/chiesasiloe/09042017-pm/download/
2017-04-16,Morire per vincere,Il segreto spirituale per la vittoria,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/16042017-pm/,https://hearthis.at/chiesasiloe/16042017-pm/download/
2017-04-30,Il messaggio del profeta Amos,Il buon pastore vuole strapparci dalle fauci del leone,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/30042017-pm/,https://hearthis.at/chiesasiloe/30042017-pm/download/
2017-05-07,Quando la manna finisce...,E' giunto il tempo di diventare combattenti,Past. Marco Ielo,https://hearthis.at/chiesasiloe/07052017-pmi/,https://hearthis.at/chiesasiloe/07052017-pmi/download/
2017-05-13,Passione per Dio,Spendi la tua vita per portare avanti il regno di Dio,Past. Sandro Lauricelli,https://hearthis.at/chiesasiloe/13052017/,https://hearthis.at/chiesasiloe/13052017/download/
2017-05-14,Chi è Gesù per te?,-,Past. Sandro Lauricelli,https://hearthis.at/chiesasiloe/14052017/,https://hearthis.at/chiesasiloe/14052017/download/
2017-05-21,Nicodemus vs Paulus,Due farisei ed il loro rapporto con Gesù,Past Marco Lienhard,https://hearthis.at/chiesasiloe/21052017-pml/,https://hearthis.at/chiesasiloe/21052017-pml/download/
2017-05-28,Vivere con gli uomini,Liberi dall'apparire per servire,Past. Marco Linehard,https://hearthis.at/chiesasiloe/28052017-pml-1h5/,https://hearthis.at/chiesasiloe/28052017-pml-1h5/download/
2017-06-04,Vivere con una missione,L'adorazione ci dà la visione per servire,Past. marco Lienhard,https://hearthis.at/chiesasiloe/04062017-pml/,https://hearthis.at/chiesasiloe/04062017-pml/download/
2017-06-09,Per fede vivrai 1,/,Past. Mike D'Anna,https://hearthis.at/chiesasiloe/09062017-p-m-a/,https://hearthis.at/chiesasiloe/09062017-p-m-a/download/
2017-06-10,Per fede vivrai 2,/,Past. Mike D'Anna,https://hearthis.at/chiesasiloe/whatsapp-audio-2017-06-13-at-142306/,https://hearthis.at/chiesasiloe/whatsapp-audio-2017-06-13-at-142306/download/
2017-06-18,Riconoscere Cristo,L'importanza di avere Gesù come Salvatore ma anche come Dio,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/18062017-pm/,https://hearthis.at/chiesasiloe/18062017-pm/download/
2017-06-25,Il saluto del credente,Buone maniere nel rapportarsi tra discepoli di Cristo,Anz. Giovanni Puntillo,https://hearthis.at/chiesasiloe/25062017-pgp/,https://hearthis.at/chiesasiloe/25062017-pgp/download/
2017-07-02,La giustizia in Cristo,La giustificazione che Gesù Cristo ci ha conquistato sulla croce,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/02072017-pml/,https://hearthis.at/chiesasiloe/02072017-pml/download/
2017-07-09,L'autorità del discepolo,L'equipaggiamento per il discepolo è autorità delegata,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/09072017-pm/,https://hearthis.at/chiesasiloe/09072017-pm/download/
2017-07-16,Costruisci il tuo altare,Incontrare Dio ci porta all'adorazione - come fece Abrahamo,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/16072017-pm/,https://hearthis.at/chiesasiloe/16072017-pm/download/
2017-07-23,L'amico di Dio,Impariamo da Abrahamo per diventare amici di Dio,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/23072017-pml/,https://hearthis.at/chiesasiloe/23072017-pml/download/
2017-07-30,Falsi o veri,La relazione con Gesù ci spinge ad essere autentici,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/30072017-pm/,https://hearthis.at/chiesasiloe/30072017-pm/download/
2017-08-06,Chi è il mio prossimo?,Gesù ci apre gli occhi per il bisogno del prossimo,Anz. Bruno Fucilla,https://hearthis.at/chiesasiloe/06082017-ab/,https://hearthis.at/chiesasiloe/06082017-ab/download/
2017-08-20,Gioia nella prova,Come attingere alla fonte di gioia nonostante le prove,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/20082017-pm/,https://hearthis.at/chiesasiloe/20082017-pm/download/
2017-08-27,Le città in eredità,La Chiesa è erede della promessa fatta ad Abrahamo,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/27082017-pm/,https://hearthis.at/chiesasiloe/27082017-pm/download/
2017-08-29,<b>Ritiro Spirituale-Sera</b><br>Gesù vuole discepoli potenti,Entriamo nella visione di questo ritiro spirituale,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/ges-vuole-discepoli-potenti-entriamo-nella-visione-di-questo-ritiro-spirituale/,https://hearthis.at/chiesasiloe/ges-vuole-discepoli-potenti-entriamo-nella-visione-di-questo-ritiro-spirituale/download/
2017-08-30,<b>Ritiro Spirituale-Mattina</b><br>Sperimentare la giustizia rivelata,Radicati sul fondamento della giustificazione,Past. Marco Ielo,https://hearthis.at/chiesasiloe/sperimentare-la-giustizia-rivelata-radicati-sul-fondamento-della-giustificazione/,https://hearthis.at/chiesasiloe/sperimentare-la-giustizia-rivelata-radicati-sul-fondamento-della-giustificazione/download/
2017-08-30,<b>Angelologia e Demonologia</b><br>Studio su Angelologia,/,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/angelologia/,https://hearthis.at/chiesasiloe/angelologia/download/
2017-08-30,<b>Ritiro Spirituale-Sera</b><br>Incontrare la potenza, quando gesù ci vuole lavare i piedi,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/incontrare-la-potenza-quando-gesu-ci-vuole-lavare-i-piedi/,https://hearthis.at/chiesasiloe/incontrare-la-potenza-quando-gesu-ci-vuole-lavare-i-piedi/download/
2017-08-31,<b>Ritiro Spirituale-Mattina</b><br>Come attingere alla forza di Dio,Dio con la sua forza vuole fortificarci dentro,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/come-attingere-alla-forza-di-dio-dio-xon-la-sua-forza-vuole-fortificarci-dentro/,https://hearthis.at/chiesasiloe/come-attingere-alla-forza-di-dio-dio-xon-la-sua-forza-vuole-fortificarci-dentro/download/
2017-08-31,<b>Angelologia e Demonologia</b><br>Studio su Demonologia pt. 1,/,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/demonologia1/,https://hearthis.at/chiesasiloe/demonologia1/download/
2017-08-31,<b>Ritiro Spirituale-Sera</b><br>Alla ricerca delle cose maggiori,Basta accontentarci di cose minori,Past. Marco Ielo,https://hearthis.at/chiesasiloe/alla-ricerca-delle-cose-maggiori-basta-accontentarci-di-cose-minori/,https://hearthis.at/chiesasiloe/alla-ricerca-delle-cose-maggiori-basta-accontentarci-di-cose-minori/download/
2017-09-01,<b>Ritiro Spirituale-Mattina</b><br>Affronta i tuoi demoni,Il credente può essere sotto influenza demoniaca,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/registra-003/,https://hearthis.at/chiesasiloe/registra-003/download/
2017-09-01,<b>Angelologia e Demonologia</b><br>Studio su Demonologia pt. 2,/,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/demonologia-2-1/,https://hearthis.at/chiesasiloe/demonologia-2-1/download/
2017-09-01,<b>Ritiro Spirituale-Sera</b><br>Prendere decisioni forti,Basta vivere nella mediocrità,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/prendere-decisione-forti-basta-vivere-nella-mediocrit/,https://hearthis.at/chiesasiloe/prendere-decisione-forti-basta-vivere-nella-mediocrit/download/
2017-09-02,<b>Ritiro Spirituale-Mattina</b><br>Scoprire la potenza della preghiera,le persone hanno bisogno di una scossa di preghiera,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/sciprirr-la-potenza-della-preghiera-le-persone-hanno-bisogno-di-una-scissa-di-preghiera/,https://hearthis.at/chiesasiloe/sciprirr-la-potenza-della-preghiera-le-persone-hanno-bisogno-di-una-scissa-di-preghiera/download/
2017-09-03,<b>Ritiro Spirituale-Mattina</b><br>Testimonianze,/,/,https://hearthis.at/chiesasiloe/testimionane-ritiro/,https://hearthis.at/chiesasiloe/testimionane-ritiro/download/
2017-09-03,<b>Ritiro Spirituale-Mattina</b><br>Autorità delegata,Il segreto della sottomissione che porta autorità,Past. Marco Ielo,https://hearthis.at/chiesasiloe/autorit-delegata-il-segreto-della-sottomissione-che-porta-autorit/,https://hearthis.at/chiesasiloe/autorit-delegata-il-segreto-della-sottomissione-che-porta-autorit/download/
2017-09-10,Confidenza Verso Dio,La confidenza che nasce quando il nostro cuore non ci condanna,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/27082017-pm/,https://hearthis.at/chiesasiloe/27082017-pm/download/
2017-09-13,<b>Angelologia e Demonologia</b><br>Studio su Demonologia pt. 3,/,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/demonologia-3/,https://hearthis.at/chiesasiloe/demonologia-3/download/
2017-09-17,I privilegi del discepolo,I vantaggi dell'essere discepoli secondo il suo modello,Past. Marco Linehard,https://hearthis.at/chiesasiloe/17092017-pml/,https://hearthis.at/chiesasiloe/17092017-pml/downlaod/
2017-09-24,Il discepolo in disparte con Gesù,L'intimità che si crea quando Gesù ti chiama in disparte,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/24092017-pm/,https://hearthis.at/chiesasiloe/24092017-pm/download/
2017-10-01,La gioia del discepolo,Gesù insegna il livello superiore della gioia,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/01102017-pml/,https://hearthis.at/chiesasiloe/01102017-pml/download/
2017-10-15,La chiamata di Cristo: Venite prendete e imparate da me,Solo coloro che hanno i requisiti richiesti saranno veri discepoli disposti a risponderGli in modo incondizionato,Anz. Giovanni Puntillo,https://hearthis.at/chiesasiloe/15102017-agp/,https://hearthis.at/chiesasiloe/15102017-agp/download/
2017-10-22,<small>mattina</small><br>l coraggio di osare,Due persone che hanno il coraggio di osare davanti alle folle riconoscedo Gesù come salvatore della loro vita,Anz. Bruno Fucilla,https://hearthis.at/chiesasiloe/22102017-pm-mattina/,https://hearthis.at/chiesasiloe/22102017-pm-mattina/download/
2017-10-22,<small>pomeriggio</small><br>Il premio del discepolo,Gesù promette abbondanti benedizioni a chi lo segue,Past. Marco Lienhard,https://hearthis.at/chiesasiloe/predica-22102017pomeriggio/,https://hearthis.at/chiesasiloe/predica-22102017pomeriggio/download/
